,Year,Quarter,LGA,Sex,0 to 4,5 to 14,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,> 65,Total,Year_Quarter
203,2020,2,Giwa,Female,4,3,0,3,1,1,1,1,14,2020 Q2
204,2020,3,Giwa,Male,7,4,0,5,3,5,6,2,32,2020 Q3
205,2020,3,Giwa,Female,4,7,0,3,2,3,1,1,21,2020 Q3
206,2020,4,Giwa,Male,14,5,0,5,5,2,0,3,34,2020 Q4
207,2020,4,Giwa,Female,3,4,3,4,4,4,0,2,24,2020 Q4
208,2020,1,Igabi,Male,0,2,8,15,7,8,2,1,43,2020 Q1
209,2020,1,Igabi,Female,0,1,8,4,3,0,0,1,17,2020 Q1
210,2020,2,Igabi,Male,0,1,7,10,4,4,2,2,30,2020 Q2
211,2020,2,Igabi,Female,0,0,4,4,3,2,0,0,13,2020 Q2
212,2020,3,Igabi,Male,0,1,9,13,12,6,1,4,46,2020 Q3
213,2020,3,Igabi,Female,0,2,11,3,4,2,1,1,24,2020 Q3
214,2020,4,Igabi,Male,2,2,15,19,7,7,9,1,62,2020 Q4
215,2020,4,Igabi,Female,2,3,6,11,10,1,4,0,37,2020 Q4
216,2020,1,Ikara,Male,0,0,3,4,3,1,0,0,11,2020 Q1
217,2020,1,Ikara,Female,1,0,2,0,0,2,0,1,6,2020 Q1
218,2020,2,Ikara,Male,0,0,3,6,4,1,0,0,14,2020 Q2
219,2020,2,Ikara,Female,0,0,1,2,1,0,1,0,5,2020 Q2
220,2020,3,Ikara,Male,0,0,0,5,2,0,1,0,8,2020 Q3
221,2020,3,Ikara,Female,0,0,0,0,1,3,1,1,6,2020 Q3
222,2020,4,Ikara,Male,0,0,2,9,6,1,0,4,22,2020 Q4
223,2020,4,Ikara,Female,0,0,2,2,1,3,1,0,9,2020 Q4
224,2020,1,Jaba,Male,0,0,1,5,3,1,1,2,13,2020 Q1
225,2020,1,Jaba,Female,0,0,0,0,0,0,2,0,2,2020 Q1
