,Year,Quarter,LGA,Total number of presumptives,Presumptive DS-TB,Presumptive DR-TB,Examined for diagnosis,Total diagnosed,Rifampicin resistant,HIV positive,HIV negative,HIV unknown,Presumptives that are HCWs,Year_Quarter
259,2021,4,Zaria,5252,5252,0,5256,430,5,17,5235,0,0,2021 Q4
260,2021,4,Kagarko,276,276,0,276,20,0,0,276,0,0,2021 Q4
261,2021,4,Kaduna South,3210,3210,0,3210,287,7,157,996,2057,0,2021 Q4
262,2021,4,Kachia,3483,3483,0,3483,284,0,8,3475,0,0,2021 Q4
263,2021,4,Kajuru,3373,3373,0,3373,136,0,1,3372,0,0,2021 Q4
264,2021,4,Jema'a,1718,1625,93,1718,131,4,0,29,1689,0,2021 Q4
265,2021,4,Kaura,561,554,7,561,25,0,19,412,130,0,2021 Q4
266,2021,4,Sabon-Gari,1885,1885,0,1885,119,0,0,1885,0,0,2021 Q4
267,2021,4,Kauru,4754,4133,621,4754,285,0,0,4754,0,0,2021 Q4
268,2021,4,Jaba,297,277,20,297,18,0,0,141,156,0,2021 Q4
269,2021,4,Ikara,873,873,0,873,36,0,16,160,697,0,2021 Q4
270,2021,4,Kudan,832,816,16,832,36,0,6,506,320,0,2021 Q4
271,2021,4,Igabi,1896,1896,0,1896,191,0,2,1894,0,0,2021 Q4
272,2021,4,Lere,784,754,30,784,59,3,4,179,601,0,2021 Q4
273,2021,4,Markafi,1271,1253,18,1271,91,0,6,1265,0,1,2021 Q4
274,2021,4,Giwa,5328,5328,0,5328,512,0,16,5312,0,0,2021 Q4
275,2021,4,Kubau,704,689,15,704,62,0,1,703,0,0,2021 Q4
276,2022,1,Ikara,823,819,4,823,39,1,1,150,672,0,2022 Q1
277,2022,1,Kagarko,565,565,0,565,35,1,0,565,0,0,2022 Q1
278,2022,1,Soba,675,668,7,675,48,0,0,48,627,0,2022 Q1
279,2022,1,Jaba,531,495,36,531,35,0,0,531,0,0,2022 Q1
280,2022,1,Kubau,555,534,21,555,70,0,0,555,0,0,2022 Q1
281,2022,1,Jema'a,1789,1722,67,1789,129,1,6,1783,0,0,2022 Q1
282,2022,1,Kaduna South,4718,4718,0,4718,324,2,9,4709,0,0,2022 Q1
283,2022,1,Markafi,1034,1031,3,1034,75,0,1,1033,0,0,2022 Q1
284,2022,1,Kachia,4279,4257,22,4279,363,0,0,4279,0,0,2022 Q1
285,2022,1,Lere,619,602,17,619,51,1,2,155,462,0,2022 Q1
286,2022,1,Sanga,210,189,21,210,34,0,12,198,0,0,2022 Q1
287,2022,1,Kajuru,2980,2980,0,2980,179,0,1,2979,0,0,2022 Q1
288,2022,1,Kudan,764,739,25,764,39,0,4,380,380,0,2022 Q1
289,2022,1,Zango-Kataf,738,738,0,738,79,0,12,726,0,0,2022 Q1
