,Year,Quarter,LGA,Sex,0 to 4,5 to 14,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,> 65,Total,Year_Quarter
279,2020,4,Kajuru,Female,0,0,0,1,0,0,0,0,1,2020 Q4
280,2020,1,Kaura,Male,0,0,1,0,0,0,0,0,1,2020 Q1
281,2020,1,Kaura,Female,0,0,0,0,0,0,0,0,0,2020 Q1
282,2020,2,Kaura,Male,0,0,0,1,0,0,0,0,1,2020 Q2
283,2020,2,Kaura,Female,0,0,0,0,0,0,0,0,0,2020 Q2
284,2020,3,Kaura,Male,0,0,0,0,0,0,0,0,0,2020 Q3
285,2020,3,Kaura,Female,0,0,0,0,0,0,0,0,0,2020 Q3
286,2020,4,Kaura,Male,0,0,0,0,0,0,0,0,0,2020 Q4
287,2020,4,Kaura,Female,0,0,0,1,0,0,0,0,1,2020 Q4
288,2020,1,Kauru,Male,0,0,0,0,0,0,0,0,0,2020 Q1
289,2020,1,Kauru,Female,0,0,0,0,0,0,0,0,0,2020 Q1
290,2020,2,Kauru,Male,0,0,0,0,0,0,0,0,0,2020 Q2
291,2020,2,Kauru,Female,0,0,0,0,0,0,0,0,0,2020 Q2
292,2020,3,Kauru,Male,0,0,0,0,0,0,0,0,0,2020 Q3
293,2020,3,Kauru,Female,0,0,0,0,0,0,0,0,0,2020 Q3
294,2020,4,Kauru,Male,0,0,0,0,0,0,0,0,0,2020 Q4
295,2020,4,Kauru,Female,0,0,0,0,0,0,0,0,0,2020 Q4
296,2020,1,Kubau,Male,0,0,0,0,0,0,0,0,0,2020 Q1
297,2020,1,Kubau,Female,0,0,0,0,0,0,0,0,0,2020 Q1
298,2020,2,Kubau,Male,0,0,2,0,0,0,0,0,2,2020 Q2
299,2020,2,Kubau,Female,0,0,1,0,1,0,0,0,2,2020 Q2
300,2020,3,Kubau,Male,0,0,0,0,0,1,0,0,1,2020 Q3
301,2020,3,Kubau,Female,0,0,0,1,0,1,0,0,2,2020 Q3
302,2020,4,Kubau,Male,0,0,0,0,0,0,0,0,0,2020 Q4
303,2020,4,Kubau,Female,0,0,0,0,0,0,0,0,0,2020 Q4
304,2020,1,Kudan,Male,0,0,0,0,0,0,0,0,0,2020 Q1
305,2020,1,Kudan,Female,0,0,0,0,0,0,0,0,0,2020 Q1
306,2020,2,Kudan,Male,0,0,0,0,0,0,0,0,0,2020 Q2
307,2020,2,Kudan,Female,0,0,0,0,0,0,0,0,0,2020 Q2
308,2020,3,Kudan,Male,0,0,0,0,0,0,0,0,0,2020 Q3
309,2020,3,Kudan,Female,0,0,0,0,0,0,0,0,0,2020 Q3
310,2020,4,Kudan,Male,0,0,0,0,0,0,0,0,0,2020 Q4
311,2020,4,Kudan,Female,0,0,0,0,0,0,0,0,0,2020 Q4
312,2020,1,Lere,Male,0,0,0,0,1,1,0,0,2,2020 Q1
313,2020,1,Lere,Female,0,0,0,1,0,2,0,0,3,2020 Q1
314,2020,2,Lere,Male,0,0,0,0,0,0,0,0,0,2020 Q2
315,2020,2,Lere,Female,0,0,0,0,0,0,0,0,0,2020 Q2
316,2020,3,Lere,Male,0,0,0,1,3,1,0,0,5,2020 Q3
317,2020,3,Lere,Female,0,0,0,4,1,0,0,0,5,2020 Q3
318,2020,4,Lere,Male,0,0,0,0,1,0,0,0,1,2020 Q4
319,2020,4,Lere,Female,0,0,0,0,0,0,0,1,1,2020 Q4
320,2020,1,Markafi,Male,0,0,0,1,0,0,1,0,2,2020 Q1
321,2020,1,Markafi,Female,0,0,0,0,0,0,0,0,0,2020 Q1
322,2020,2,Markafi,Male,0,0,0,1,0,0,0,0,1,2020 Q2
323,2020,2,Markafi,Female,0,0,0,1,0,0,0,0,1,2020 Q2
324,2020,3,Markafi,Male,0,0,0,0,0,0,0,0,0,2020 Q3
325,2020,3,Markafi,Female,0,0,0,2,0,0,0,0,2,2020 Q3
326,2020,4,Markafi,Male,0,0,1,1,0,1,1,0,4,2020 Q4
327,2020,4,Markafi,Female,0,0,1,1,0,0,0,0,2,2020 Q4
328,2020,1,Sabon-Gari,Male,0,0,0,0,1,0,0,0,1,2020 Q1
